,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2023-12-25 18:27:08.096603
1,Euro,0.906298,2023-12-25 18:27:08.096603
2,British Pound,0.787633,2023-12-25 18:27:08.096603
3,Indian Rupee,83.163115,2023-12-25 18:27:08.096603
4,Australian Dollar,1.470386,2023-12-25 18:27:08.096603
5,Canadian Dollar,1.325575,2023-12-25 18:27:08.096603
6,Singapore Dollar,1.324306,2023-12-25 18:27:08.096603
7,Swiss Franc,0.856479,2023-12-25 18:27:08.096603
8,Malaysian Ringgit,4.631911,2023-12-25 18:27:08.096603
9,Japanese Yen,142.430264,2023-12-25 18:27:08.096603
10,Chinese Yuan Renminbi,7.131324,2023-12-25 18:27:08.096603
11,Argentine Peso,804.634116,2023-12-25 18:27:08.096603
12,Bahraini Dinar,0.376000,2023-12-25 18:27:08.096603
13,Botswana Pula,13.414387,2023-12-25 18:27:08.096603
14,Brazilian Real,4.892441,2023-12-25 18:27:08.096603
15,Bruneian Dollar,1.324306,2023-12-25 18:27:08.096603
16,Bulgarian Lev,1.772565,2023-12-25 18:27:08.096603
17,Chilean Peso,892.346111,2023-12-25 18:27:08.096603
18,Colombian Peso,3903.770099,2023-12-25 18:27:08.096603
19,Czech Koruna,22.276496,2023-12-25 18:27:08.096603
20,Danish Krone,6.765482,2023-12-25 18:27:08.096603
21,Hong Kong Dollar,7.811146,2023-12-25 18:27:08.096603
22,Hungarian Forint,345.784302,2023-12-25 18:27:08.096603
23,Icelandic Krona,136.627322,2023-12-25 18:27:08.096603
24,Indonesian Rupiah,15469.018399,2023-12-25 18:27:08.096603
25,Iranian Rial,42437.688471,2023-12-25 18:27:08.096603
26,Israeli Shekel,3.612192,2023-12-25 18:27:08.096603
27,Kazakhstani Tenge,457.687247,2023-12-25 18:27:08.096603
28,South Korean Won,1296.676766,2023-12-25 18:27:08.096603
29,Kuwaiti Dinar,0.307176,2023-12-25 18:27:08.096603
30,Libyan Dinar,4.803814,2023-12-25 18:27:08.096603
31,Mauritian Rupee,43.924478,2023-12-25 18:27:08.096603
32,Mexican Peso,17.005139,2023-12-25 18:27:08.096603
33,Nepalese Rupee,133.123356,2023-12-25 18:27:08.096603
34,New Zealand Dollar,1.587405,2023-12-25 18:27:08.096603
35,Norwegian Krone,10.201507,2023-12-25 18:27:08.096603
36,Omani Rial,0.384583,2023-12-25 18:27:08.096603
37,Pakistani Rupee,282.925993,2023-12-25 18:27:08.096603
38,Philippine Peso,55.334956,2023-12-25 18:27:08.096603
39,Polish Zloty,3.944225,2023-12-25 18:27:08.096603
40,Qatari Riyal,3.640000,2023-12-25 18:27:08.096603
41,Romanian New Leu,4.514002,2023-12-25 18:27:08.096603
42,Russian Ruble,92.411195,2023-12-25 18:27:08.096603
43,Saudi Arabian Riyal,3.750000,2023-12-25 18:27:08.096603
44,South African Rand,18.477064,2023-12-25 18:27:08.096603
45,Sri Lankan Rupee,326.098390,2023-12-25 18:27:08.096603
46,Swedish Krona,10.020693,2023-12-25 18:27:08.096603
47,Taiwan New Dollar,31.133170,2023-12-25 18:27:08.096603
48,Thai Baht,34.620415,2023-12-25 18:27:08.096603
49,Trinidadian Dollar,6.805386,2023-12-25 18:27:08.096603
50,Turkish Lira,29.214037,2023-12-25 18:27:08.096603
51,Emirati Dirham,3.672500,2023-12-25 18:27:08.096603
52,Venezuelan Bolivar,3576871.414048,2023-12-25 18:27:08.096603
